,ssoc_2015,ssoc_2015_title
223,2151,Electrical Engineers
224,21511,Electrical Engineer (General)
225,21512,Power Generation And Distribution Engineer
226,21513,Lift Engineer
227,21519,Other Electrical Engineers
228,2152,Electronics Engineers
229,21521,Electronics Engineer (General)
230,21522,Computer Engineer
231,21523,Semi-Conductor Engineer
232,21524,Audio And Video Equipment Engineer
233,21525,Instrumentation Engineer
234,21526,Embedded Systems Engineer
235,21529,Other Electronics Engineers
236,2153,Telecommunications Engineers
237,21530,Telecommunications Engineer
238,216,"Architects, Planners, Surveyors And Designers"
239,2161,Building Architects
240,21610,Building Architect
241,2162,Landscape Architects
242,21620,Landscape Architect
243,2163,"Fashion, Garment And Product Designers"
244,21631,Fashion/Garment Designer (Including Jewellery Designer)
245,21632,Product And Industrial Designer
246,2164,Town And Related Planners
247,21641,Town Planner
248,21649,Other Related Planners (Eg Traffic Planner)
249,2165,Surveyors And Cartographers
250,21651,Surveyor (General)
251,21652,Land Surveyor
252,21653,Hydrographic Surveyor
253,21654,Cartographer
254,21659,Other Surveyors And Cartographers
255,2166,Graphic And Multimedia Designers And Artists
256,21661,Graphic Designer
257,21662,Multimedia (Including Computer Games) Designer
258,21663,Multimedia Artist
259,21664,Animator
260,21665,Interaction/User Experience Designer
261,21666,Commercial Artist
262,21669,Other Graphic And Multimedia Designers And Artists
263,217,Ship And Aircraft Related Professionals
264,2171,Ship Engineers And Related Professionals
265,21711,Chief Engineer (Ship)
266,21712,Marine Superintendent Engineer
267,21713,Ship Captain
268,21714,Marine Superintendent (Deck)
269,2172,Aircraft Pilots And Related Professionals
270,21721,Commercial Airline Pilot
271,21722,Aircraft Pilot (Except Commercial Airline And Air Force)
272,21723,Flight Navigator
273,21724,Flight Engineer
274,21725,Flying Instructor (Except Air Force)
275,21729,Other Aircraft Pilots And Related Associate Professionals
276,22,Health Professionals
277,221,Medical Doctors
278,2211,Generalist Medical Practitioners
279,22110,General Practitioner/Physician
280,2212,Specialist Medical Practitioners (Medical)
281,22121,Cardiologist
282,22122,Dermatologist
283,22123,Gastroenterologist
284,22124,Internal Medicine Physician
285,22125,Medical Oncologist
286,22126,Paediatrician
287,22127,Respiratory Physician
288,22128,Psychiatrist
289,22129,"Other Specialist Medical Practitioners (Medical) (Eg Endocrinologist, Geriatrician, Haematologist, Infectious Diseases Physician, Neurologist, Nuclear Medicine Physician, Rehabilitation Physician, Renal Physician, Rheumatologist)"
290,2213,Specialist Medical Practitioners (Surgical)
291,22131,General Surgeon
292,22132,Cardiothoracic Surgeon
293,22133,Hand Surgeon
294,22134,Neurosurgeon
295,22135,Orthopaedic Surgeon
296,22136,Paediatric Surgeon
297,22137,Plastic Surgeon
298,22138,Urologist
299,22139,Other Specialist Medical Practitioners (Surgical)
300,2214,Specialist Medical Practitioners (Other Specialisations) - I
301,22141,Anaesthesiologist
302,22142,Diagnostic Radiologist
303,22143,Emergency Physician
304,22144,Obstetrician/Gynaecologist
305,22145,Ophthalmologist
306,22146,Pathologist
307,22147,Public Health Physician
308,22148,"Otorhinolaryngologist/Ear, Nose, Throat (Ent) Specialist"
309,2215,Specialist Medical Practitioners (Other Specialisations) - Ii (Con'Td)
